,,,,ENGINESIZE,CYLINDERS,,,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
,,,,2,4,,,9.9,6.7,8.5,33,196
,,,,2.4,4,,,11.2,7.7,9.6,29,221
,,,,1.5,4,,,6,5.8,5.9,48,136
,,,,3.5,6,,,12.7,9.1,11.1,25,255
,,,,3.5,6,,,12.1,8.7,10.6,27,244
,,,,3.5,6,,,11.9,7.7,10,28,230
,,,,3.5,6,,,11.8,8.1,10.1,28,232
,,,,3.7,6,,,12.8,9,11.1,25,255
,,,,3.7,6,,,13.4,9.5,11.6,24,267
,,,,2.4,4,,,10.6,7.5,9.2,31,212
,,,,2.4,4,,,11.2,8.1,9.8,29,225
,,,,3.5,6,,,12.1,8.3,10.4,27,239
,,,,5.9,12,,,18,12.6,15.6,18,359
,,,,5.9,12,,,18,12.6,15.6,18,359
,,,,4.7,8,,,17.4,11.3,14.7,19,338
,,,,4.7,8,,,18.1,12.2,15.4,18,354
,,,,4.7,8,,,17.4,11.3,14.7,19,338
,,,,4.7,8,,,18.1,12.2,15.4,18,354
,,,,5.9,12,,,18,12.6,15.6,18,359
,,,,2,4,,,9.9,7.4,8.8,32,202
,,,,2,4,,,11.5,8.1,10,28,230
,,,,2,4,,,10.8,7.5,9.3,30,214
,,,,2,4,,,11.5,8.1,10,28,230
,,,,2,4,,,11.5,8.1,10,28,230
,,,,2,4,,,10.8,7.5,9.3,30,214
,,,,2,4,,,12,8.1,10.2,28,235
,,,,3,6,,,12.8,8.6,10.9,26,251
,,,,3,6,,,9.8,6.4,8.3,34,224
,,,,3,6,,,13.1,8.8,11.2,25,258
,,,,3,6,,,9.8,6.4,8.3,34,224
,,,,3,6,,,13.1,8.8,11.2,25,258
,,,,4,8,,,13.5,8.6,11.3,25,260
,,,,3,6,,,10,6.4,8.4,34,227
,,,,3,6,,,13.1,8.8,11.2,25,258
,,,,4,8,,,14.7,9.7,12.5,23,288
,,,,6.3,12,,,18.2,12.6,15.7,18,361
,,,,3,6,,,10.1,6.5,8.5,33,230
,,,,2,4,,,11.8,8.8,10.5,27,242
,,,,2,4,,,12,8.5,10.4,27,239
,,,,3,6,,,12.9,9.2,11.2,25,258
,,,,2,4,,,9.9,8.3,9.2,31,212
,,,,3,6,,,10.3,7.6,9.1,31,246
,,,,3,6,,,15.1,10.9,13.2,21,304
,,,,3,6,,,12.9,8.4,10.9,26,294
,,,,4.2,8,,,17.6,11,14.6,19,336
,,,,4.2,8,,,21.2,13.4,17.7,16,407
,,,,5.2,10,,,18.8,11.3,15.4,18,354
,,,,5.2,10,,,21.1,13.8,17.8,16,409
,,,,4.2,8,,,17.6,11,14.6,19,336
,,,,4.2,8,,,21.2,13.4,17.7,16,407
,,,,5.2,10,,,18.8,11.3,15.4,18,354
,,,,5.2,10,,,21.1,13.8,17.8,16,409
,,,,4.2,8,,,15.3,10.9,13.3,21,306
,,,,4.2,8,,,15.2,11.3,13.4,21,308
,,,,4,8,,,15.3,9.3,12.6,22,290
,,,,3,6,,,13.2,9.2,11.4,25,262
,,,,3,6,,,14.6,9.8,12.4,23,285
,,,,3,6,,,13.2,9.2,11.4,25,262
,,,,3,6,,,14.6,9.8,12.4,23,285
,,,,3,6,,,13.3,9.5,11.6,24,267
,,,,4,8,,,14.2,9.7,12.2,23,281
,,,,4,8,,,14.2,9.7,12.2,23,281
,,,,4,8,,,15.4,9.8,12.9,22,297
,,,,3,6,,,14.9,10.1,12.7,22,292
,,,,2,4,,,10.4,7.6,9.1,31,209
,,,,2,4,,,10.4,7.6,9.1,31,209
,,,,2,4,,,11.5,8.8,10.3,27,237
